fundingTime,formulaType,fundingRate,instId,instType,method,realizedRate
2025-10-10 16:00:00,withRate,4.9590713208e-05,BTC-USDT-SWAP,SWAP,current_period,4.9590713208e-05
2025-10-11 00:00:00,withRate,-0.00050509797655,BTC-USDT-SWAP,SWAP,current_period,-0.00050509797655
2025-10-11 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-11 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-12 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-12 08:00:00,withRate,7.9983520568e-05,BTC-USDT-SWAP,SWAP,current_period,7.9983520568e-05
2025-10-12 16:00:00,withRate,2.92152517062e-05,BTC-USDT-SWAP,SWAP,current_period,2.92152517062e-05
2025-10-13 00:00:00,withRate,5.9661536328e-06,BTC-USDT-SWAP,SWAP,current_period,5.9661536328e-06
2025-10-13 08:00:00,withRate,7.73188132622e-05,BTC-USDT-SWAP,SWAP,current_period,7.73188132622e-05
2025-10-13 16:00:00,withRate,4.72671451613e-05,BTC-USDT-SWAP,SWAP,current_period,4.72671451613e-05
2025-10-14 00:00:00,withRate,4.68274121292e-05,BTC-USDT-SWAP,SWAP,current_period,4.68274121292e-05
2025-10-14 08:00:00,withRate,7.08063647784e-05,BTC-USDT-SWAP,SWAP,current_period,7.08063647784e-05
2025-10-14 16:00:00,withRate,1.451046899e-07,BTC-USDT-SWAP,SWAP,current_period,1.451046899e-07
2025-10-15 00:00:00,withRate,6.17932781007e-05,BTC-USDT-SWAP,SWAP,current_period,6.17932781007e-05
2025-10-15 08:00:00,withRate,7.33825115214e-05,BTC-USDT-SWAP,SWAP,current_period,7.33825115214e-05
2025-10-15 16:00:00,withRate,4.77458074397e-05,BTC-USDT-SWAP,SWAP,current_period,4.77458074397e-05
2025-10-16 00:00:00,withRate,-1.32709606203e-05,BTC-USDT-SWAP,SWAP,current_period,-1.32709606203e-05
2025-10-16 08:00:00,withRate,-1.86052091159e-05,BTC-USDT-SWAP,SWAP,current_period,-1.86052091159e-05
2025-10-16 16:00:00,withRate,5.9933766917e-06,BTC-USDT-SWAP,SWAP,current_period,5.9933766917e-06
2025-10-17 00:00:00,withRate,2.10230551403e-05,BTC-USDT-SWAP,SWAP,current_period,2.10230551403e-05
2025-10-17 08:00:00,withRate,3.02194591068e-05,BTC-USDT-SWAP,SWAP,current_period,3.02194591068e-05
2025-10-17 16:00:00,withRate,2.25259268474e-05,BTC-USDT-SWAP,SWAP,current_period,2.25259268474e-05
2025-10-18 00:00:00,withRate,-4.42512565269e-05,BTC-USDT-SWAP,SWAP,current_period,-4.42512565269e-05
2025-10-18 08:00:00,withRate,6.9041376423e-06,BTC-USDT-SWAP,SWAP,current_period,6.9041376423e-06
2025-10-18 16:00:00,withRate,-5.41252201146e-05,BTC-USDT-SWAP,SWAP,current_period,-5.41252201146e-05
2025-10-19 00:00:00,withRate,-4.35891005759e-05,BTC-USDT-SWAP,SWAP,current_period,-4.35891005759e-05
2025-10-19 08:00:00,withRate,-1.67838206472e-05,BTC-USDT-SWAP,SWAP,current_period,-1.67838206472e-05
2025-10-19 16:00:00,withRate,-1.02925571337e-05,BTC-USDT-SWAP,SWAP,current_period,-1.02925571337e-05
2025-10-20 00:00:00,withRate,1.22179358928e-05,BTC-USDT-SWAP,SWAP,current_period,1.22179358928e-05
2025-10-20 08:00:00,withRate,-3.7521438921e-06,BTC-USDT-SWAP,SWAP,current_period,-3.7521438921e-06
2025-10-20 16:00:00,withRate,3.87779059402e-05,BTC-USDT-SWAP,SWAP,current_period,3.87779059402e-05
